pub_title,pub_description,related_pub_title,related_pub_link,research_inventor,research_inventor_link,managed_by,managed_by_link,patent_protection,technology_number
Fluorogenic Phospholipase C (PLC) Reporter Assay,"A membrane-associated fluorogenic reporter (XY-69) has been developed that selectively reports phosphatidylinositol-specific phospholipase C (PLC) isozyme activity, both with purified enzymes and in cell lysates. Furthermore, XY-69, but not other soluble fluorogenic PLC reporters, recaptures the direct activation of PLC activity by Gaq, which requires the presence of membranes. Consequently, XY-69 can be used to replace the radiolabeled PIP2","A membrane-associated, fluorogenic reporter for mammalian phospholipase C isozymes",http://www.jbc.org/content/early/2017/12/20/jbc.RA117.000926,Qisheng Zhang,http://technologies.unc.edu/inventors/18585129_qisheng-zhang,Leodis Gupton Commercialization Manager 919.966.4132,http://technologies.unc.edu/managers/369_leodis-gupton,PCT Patent Application WO 2018/142365,#17-0089
Bi-functional Chemical Epigenetic Modifiers (CEM)s,"Epigenome editing is a powerful method for life science research and offers great potential for the development of therapeutics for human diseases such as cancers and autoimmune disorders.The underlying mechanisms by which histone-modifying proteins work in concert to properly regulate gene expression still remain largely unkown. UNC inventors have developed a small-molecule platform for specifically inducing gene repression and histone deacetylation at a reporter gene to investigate and manipulate complex epigenetic interactions in live cells.Chromatin Epigenetic Modifers (CEMs) technology can intricately control gene expression of any mammalian gene. The technology platform utilizes a new bifunctional small molecules to bind endogenous gene regulatory enzymes and recruit these enzymes to the desired gene using deactivated dCAS9 gene targeting.These novel compounds have been deployed in a dose-dependent and reversible fashion to repress gene expression in a murine stem cell model system. Our fresh approach details a new method of synthetically controlling gene expression programs using the cell’s own machinery and has broad applications in drug discovery research. The advantage of our technique over other currently developed strategies is the use of the bifunctional CEM to control activity.Potential Applications:Cancer therapeutics: Our CEM technique can be used to repress key oncogenes driving cancer. Alternatively, it can be used to activate tumor suppressor genes that have been epigenetically silenced in cancer. We are currently testing both approaches in colon and prostate cancer models.Discovery research: This chemical technology is modular and can be used to study a variety of chromatin regulation pathways, by making CEMs that engage other chromatin enzymes.",Targeted Gene Repression Using Novel Bifunctional Molecules to Harness Endogenous Histone Deacetylation Activity,http://pubs.acs.org/doi/abs/10.1021/acssynbio.7b00295,Nate Hathaway,http://technologies.unc.edu/inventors/18585100_nate-hathaway,Leodis Gupton Commercialization Manager 919.966.4132,http://technologies.unc.edu/managers/369_leodis-gupton,Provisional Patent Application Filed ,#17-0151
Mouse: FOXJ1-EGFP Transgenic Mouse,"This mouse line expresses the reporter gene EGFP from the promoter of FoxJ1: a transcription factor whose expression is restricted to cells possessing motile cilia or flagella. This promoter has been demonstrated to be highly specific for motile ciliated cells, and transgene-positive mice demonstrate strong EGFP expression in the ciliated cells of tracheal, bronchial, and nasal epithelium. These mice were developed in order to identify a desirable, cell-specific promoter to use in gene therapy for cystic fibrosis as described in the listed publication. In addition to cystic fibrosis, these mice could potentially be used in studies of other diseases that affect ciliated cells such as chronic respiratory infections and polycystic kidney disease.These mice are available at The Jackson Laboratory and can be found athttps://www.jax.org/strain/010827.",https://www.jax.org/strain/010827,https://www.jax.org/strain/010827,Lawrence Ostrowski,http://technologies.unc.edu/inventors/18585243_lawrence-ostrowski,Tangible Property  919.966.3929,http://technologies.unc.edu/managers/363_tangible-property,Tangible Property  919.966.3929,#18-0013
Monoclonal Antibody: Anti-CDC42 Monoclonal Antibody,,“The Function of Two Rho Family GTPases Is Determined by Distinct Patterns of Cell Surface Localization”,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2953063/,Patrick Brennwald,http://technologies.unc.edu/inventors/18585217_patrick-brennwald,Tangible Property  919.966.3929,http://technologies.unc.edu/managers/363_tangible-property,Tangible Property  919.966.3929,#18-0041
Mouse: Conditional knockout of Dnaic1,,Conditional Deletion of Dnaic1 in a Murine Model of Primary Ciliary Dyskinesia Causes Chronic Rhinosinusitis,http://www.atsjournals.org/doi/abs/10.1165/rcmb.2009-0118OC?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%3dpubmed,Lawrence Ostrowski,http://technologies.unc.edu/inventors/18585248_lawrence-ostrowski,Tangible Property  919.966.3929,http://technologies.unc.edu/managers/363_tangible-property,Tangible Property  919.966.3929,#18-0012
Human Factor IX for Treatment of Hemophilia B with Extended Half-life and Enhanced Specific Activity,"Codon-optimized Factor IX (FIX) with several modifications have been developed that produce Factor IX with an extended half-life and enhaced specific activity when delivered via gene therapy or when manufactured to deliver protein replacement therapy in hemophilia B patients.Features and Advantages·FIX proteins have higher specific activity, longer useful clotting function, and longer half-life·FIX protein is expressed from a single expression cassette, which facilitates efficientin vivodelivery by viral vectors·",Nouvant,https://www.nouvant.com,Tal Kafri,http://technologies.unc.edu/inventors/18585069_tal-kafri,"Kelly Parsons Associate Director, Technology Commercialization 919.962.6277",http://technologies.unc.edu/managers/371_kelly-parsons,US Patent Pending US 2018-0305439,#16-0027
Enhancing Purity and Safety of AAV Vector Preparations for Gene Therapy,"A novel method has been developed to resolve the mass landscape of whole viral particles, capsid intermediates, and viral genomes present in adeno-associated virus (AAV) vector preparations based on charge detection mass spectrometry (CDMS).CDMS not only provides an accurate analysis of diversity within AAV vector preparations, but it can dramatically shorten the analysis time. CDMS can also enhance current quality control protocols for AAV vector analysis, help identify potential contaminants, and also shed light on AAV capsid dynamics during the infectious pathway. This method will have a significant impact on clinical AAV vector preparations which often contain variable levels of full or partial-genome containing particles and emptyvectors. Consequently,the composition of these preparationscan influence vector dose-related immunotoxicity in patients.This novel method has the potential to greatly increase the efficiency, purity, and safety of AAV therapy.Features and Advantages· Novel method that analyzes the entire landscape of AAV vector preparations· Can establish the mass and stoichiometry of AAV capsids complexed with exogenous proteins, nucleic acids, or carbohydrates· Determines the purity of recombinant AAV preparations for clinical applications· Shortens the analysis time from hours to minutes, and can be seamlessly integrated into current quality control protocols",Resolving Adeno-Associated Viral Particle Diversity With Charge Detection Mass Spectrometry,https://www.ncbi.nlm.nih.gov/pubmed/27310298,Aravind Asokan,http://technologies.unc.edu/inventors/18584955_aravind-asokan,"Kelly Parsons Associate Director, Technology Commercialization 919.962.6277",http://technologies.unc.edu/managers/371_kelly-parsons,Provisional Patent Application Filed ,#15-0118
Enhanced Integration-deficient Lentiviral Vectors that are Resistant to Epigenetic Silencing,"Integration deficient lentiviral vectors (IDLVs) efficiently ferry large genetic constructs to both dividing and non-dividing cells in vitro and in vivo. The stable genome of IDLVs allows for successful and long-term gene expression in non-dividing and slowly-dividing cells. In dividing cells, the presence of IDLVs is transient, and is thus used to express potentially toxic proteins whose function is required for a short time such as genome-editing proteins and de-differentiation factors. IDLVs are a promising system for delivery of foreign or native gene sequences, however transcriptional silencing of IDLVs reduces the transgene expression, and overall efficacy of IDLVs.",Nouvant,https://www.nouvant.com,Tal Kafri,http://technologies.unc.edu/inventors/18584921_tal-kafri,"Kelly Parsons Associate Director, Technology Commercialization 919.962.6277",http://technologies.unc.edu/managers/371_kelly-parsons,US Patent Pending US 2018-0320198,#14-0070
Chimeric VLP for Vaccination Against G11.4 Norovirus Strains,"A virus-like particle (VLP) has been developed in order to induce a more broadly blocking immune response against G11.4 strains of norovirus. This VLP contains multiple epitopes of different strains of norovirus in a backbone of a single strain, and consequently induces a more broadly blocking immune response than single strains alone. G11.4 noroviruses account for the majority of all norovirus outbreaks, however no approved vaccine against this strain of norovirus exists due to the antigenic variation of G11.4 variations. This novel VLP can avoid this problem, and can be used to develop a human norovirus vaccine against current and emerging G11.4 strains.Features and Advantages· This novel, chimeric VLP induces a broader immune response than single strains of norovirus alone· Allows for vaccination despite the heterogeneous nature of G11.4 noroviruses·",Chimeric GII.4 norovirus virus-like-particle-based vaccines induce broadly blocking immune responses.,https://www.ncbi.nlm.nih.gov/pubmed/24741081,Ralph Baric,http://technologies.unc.edu/inventors/18584902_ralph-baric,Kyle Bartholomew  ,http://technologies.unc.edu/managers/447_kyle-bartholomew,"US Patent 9,975,923",#13-0036
Multivalent Vaccine Antigen that Protects Against Divergent Strains of Coronavirus,"A chimeric antigen has been developed for use in the design of vaccines against coronaviruses, such as SARS-CoV, MERS-CoV, and veterinary strains. This antigen contains spike proteins from three different coronavirus strains and has been shown to provide complete protection against SARS-CoV in a mouse model. ",Nouvant,https://www.nouvant.com,Ralph Baric,http://technologies.unc.edu/inventors/18584890_ralph-baric,Jennifer Dean  919.966.3929,http://technologies.unc.edu/managers/366_jennifer-dean,"US Patent 9,884.895",#13-0091
Mouse: Apoe-Flox Mice: Selective Suppression of Apolipoprotein E,"These mice possess loxP sites on either side of the Apoe gene which allows for selective, tissue-specific suppression of adipose tissue apolipoprotein E (apoE) expression and normal circulating levels. Unlike mice containing global knockout of apoE, when these mice are bred to mice that express Cre recombinase, the resulting offspring will have exon 3 deleted in only the cre-expressing tissues which can provide better insight in the function of apoE in specific tissues. A primary role of apoE is the mediation of lipid transport throughout various tissues and cells, and consequently these mice can be used in a vast range of studies including metabolism, regulation of the immune system, and neurodegenerative and cardiovascular disease. More information regarding the generation of, and studies using these mice can be found in the listed publication.These mice are available at The Jackson Laboratory, and can be found athttps://www.jax.org/strain/028530.",https://www.jax.org/strain/028530,https://www.jax.org/strain/028530,Nobuyo Maeda,http://technologies.unc.edu/inventors/18585206_nobuyo-maeda,Tangible Property  919.966.3929,http://technologies.unc.edu/managers/363_tangible-property,Tangible Property  919.966.3929,#18-0066
Synthetic Platform for Alkane Functionalization: Site-Selective Aliphatic C-H Dithiocarbonation,,C-H Xanthylation: A Synthetic Platform for Alkane Functionalization,http://pubs.acs.org/doi/10.1021/jacs.6b09414,Erik Alexanian,http://technologies.unc.edu/inventors/18585083_erik-alexanian,Tangible Property  919.966.3929,http://technologies.unc.edu/managers/363_tangible-property,Tangible Property  919.966.3929,#16-0005
Antibody Therapeutic for the Treatment of Lupus,"Systemic lupus erythematosus (SLE, lupus) is a complex autoimmune disease with underlying genetic and environmental etiologies. Multiple single genes, molecular events, and cell types have been implicated in disease; however, recent therapies targeting single gene products (B-cell Activating Factor, BAFF) or single cells (B cells) have shown marginal therapeutic success. To improve efficacy, we developed a strategy to target immune dysregulation upstream of multiple SLE-associated pathologies. This strategy is based on our findings that lysosomes in lupus-prone mice fail to acidify and degrade immune complexes (IgG autoantibody bound to dead cell debris; IgG-immune complexes). In addition, we show that undegraded IgG-immune complexes promote chronic binding of IgG-immune complexes to particular receptors leading to BAFF and IFNa secretion, B cell activation and autoantibody production, and cell migration and renal disease. To restore lysosome acidification and facilitate the degradation of IgG-immune complexes that are pathognomonic of lupus, we attenuate the lysosome defect and restore degradation of IgG-immune complexes by crosslinking two key surface receptors. Using a PEG-based molecule where intact antibodies binding each receptor were conjugated at differing ratios, we show that crosslinking these receptors restores lysosome acidification, clears the plasma membrane of recycled receptors, and diminishes signal transduction from the target receptors. Future work will focus on designing multivalent, bispecific antibodies to these targets.",mTORC2 Activity Disrupts Lysosome Acidification in Systemic Lupus Erythematosus by Impairing Caspase-1 Cleavage of Rab39a,https://www.ncbi.nlm.nih.gov/pubmed/29866702,Barbara Vilen,http://technologies.unc.edu/inventors/18585165_barbara-vilen,"Kelly Parsons Associate Director, Technology Commercialization 919.962.6277",http://technologies.unc.edu/managers/371_kelly-parsons,PCT Patent Application WO 2018/064603,#17-0011
Diagnostic for ANCA-Associated Vasculitis Relapse,"ANCA-associated vasculitis (AAV) is an autoimmune disease primarily caused by neutrophil granule proteins encoded by the genes MPO and PRTN3. AAV is characterized by vascular inflammation, and patients cycle between disease remissions interrupted by relapses of active disease. Consequently, many patients are treated with maintenance immunosuppressive drugs that can have cumulative toxic effects including infertility and malignancies after long-term exposure. Therefore, insight about disease prognosis is vital to patient care, and important to determine whether a patient needs maintenance immunosuppressive treatments. Unfortunately the amount of circulating autoantibodies is not an adequate marker of remission or disease state, and there is no reliable biomarker to indicate a state of remission. ",Gene-Specific DNA Methylation Changes Predict Remission in Patients with ANCA-Associated Vasculitis,https://www.ncbi.nlm.nih.gov/pubmed/27821628,Dominic Ciavatta,http://technologies.unc.edu/inventors/18585154_dominic-ciavatta,"Kelly Parsons Associate Director, Technology Commercialization 919.962.6277",http://technologies.unc.edu/managers/371_kelly-parsons,PCT Patent Application WO 2018/071524,#17-0046
Recombinant Flavivirus (including Dengue and Zika) Quaternary Epitopes for Vaccines and Diagnostics,"Dengue virus is the causative agent of dengue fever and dengue hemorrhagic fever, but there is currently no approved vaccine for the virus. Research at UNC has identified that a majority of the strongly neutralizing antibodies produced during dengue infection are targeted to the quaternary structure of the envelope E protein. However, since recombinant proteins are secreted as monomers, the key quaternary epitopes targeted by human antibodies are not displayed on recombinant proteins limiting effective vaccine design. A method has been developed to assemble recombinant dengue envelope proteins that display the quaternary structures needed to induce potent neutralizing antibodies. The ability to generate neutralizing antibodies from recombinant quaternary envelope proteins could expedite the development of an effective vaccine against dengue virus.",In Vitro Assembly and Stabilization of Dengue and Zika Virus Envelope Protein Homo-Dimers,http://www.nature.com/articles/s41598-017-04767-6,Aravinda Desilva,http://technologies.unc.edu/inventors/18585062_aravinda-desilva,"Kelly Parsons Associate Director, Technology Commercialization 919.962.6277",http://technologies.unc.edu/managers/371_kelly-parsons,US Patent Pending US 2018-0280494,#16-0047
"Use of Tardigrade Proteins to Stabilize Biological Materials, Industrial Enzymes, and Agricultural Products","The instability of many high value industrial enzymes and life saving biologics, including vaccines and protein-based pharmaceuticals, require that such materials be produced, transported and stored under refrigerated conditions, which adds difficulty and expense. Lyophilization is an alternate storage method that allows some pharmaceuticals to be stored at room temperature. Unfortunately, many proteins denature and lose activity in the lyophilization process. Additionally, agents currently used to prevent desiccation-induced inactivation do not work for all products.By studying the ability of tardigrade organisms to withstand desiccation, a group of proteins has been identified that maintain the structural and functional integrity of proteins in both hydrated and dry states. Methods to purify these Tardigrade Disordered Proteins (TDPs) have been developed, and studies show that TDPs preserve the functional integrity of proteins exposed to desiccation, which enables the lyophilization process. TDPs can also be utilized at high concentrations without aggregation. This technology has the potential to improve and simplify the production and storage of numerous products, including vaccines, industrial enzymes and seeds.Advantages:· TDPs stabilize proteins in both hydrated and dry states· TDPs protect the functionality of lyophilized proteins· Could reduce or eliminate the need to refrigerate sensitive biological materials and enzymes· Could be used to increase the drought tolerance of crops",Tardigrades Use Intrinsically Disordered Proteins to Survive Desiccation,https://www.ncbi.nlm.nih.gov/pubmed/28306513,Gary Pielak,http://technologies.unc.edu/inventors/18585022_gary-pielak,"Kelly Parsons Associate Director, Technology Commercialization 919.962.6277",http://technologies.unc.edu/managers/371_kelly-parsons,PCT Patent Application WO 2018034867,#16-0158
Method for Detecting Coagulation Inhibitors,"An ELISA-like diagnostic test has been developed to identify three commonly used anticoagulants (heparin, rivaroxaban, and dabigatran) in a patient sample. The assay is based on combinations of four different substrates, andcan quantitate the amount of anticoagulants as well as identify the type of coagulant(s) present in a patient.This assaydetected levels of dabigatran from plasma of mice fed a dabigatran-containinganticoagulant, whichdemonstrated the functionality and efficacy of the assay.In some situations, such as a patient undergoing an emergency surgery, it may be of critical important for a physician to evaluate levels of circulating anticoagulants to ensure patient safety.Advantages:· Can detect the specific anticoagulants even if other inhibitors are present· Will work with newly developed compounds that have the same function· A modification of this test could be used to assay for other inhibitors·",Nouvant,https://www.nouvant.com,Dougald Monroe,http://technologies.unc.edu/inventors/18584904_dougald-monroe,Jennifer Dean  919.966.3929,http://technologies.unc.edu/managers/366_jennifer-dean,"US Patent 9,989,532",#13-0032
Nematostella VKOR for the Production of Vitamin K-Dependent Blood Coagulation Factors,"Recombinant Vitamin K-dependent blood coagulation factors such as factors VII, IX , and protein C are clinically important for the treatment of hemophilia and various disorders associated with protein C deficiency. These factors have to be produced in eukaryotic cells due to their requirement for vitamin K-dependent post-translational modification to be functionally active. Vitamin K epoxide reductase (VKOR) is the rate limiting factor in eukaryotic cell systems for producing these factors. ",Nouvant,https://www.nouvant.com,Darrel Stafford,http://technologies.unc.edu/inventors/18584837_darrel-stafford,Jennifer Dean  919.966.3929,http://technologies.unc.edu/managers/366_jennifer-dean,US Patent US 9631002,#09-0107
A System for Photo-induced Protein Dissociation,,LOVTRAP: an optogenetic system for photoinduced protein dissociation,http://www.nature.com/articles/nmeth.3926,Klaus Hahn,http://technologies.unc.edu/inventors/18585016_klaus-hahn,Tangible Property  919.966.3929,http://technologies.unc.edu/managers/363_tangible-property,Tangible Property  919.966.3929,#16-0164
Protein: Genetically Encoded Inhibitor of KEAP1,This engineered monobody (R1) is a potent competitive inhibitor of the KEAP1–NRF2 interaction.,“Engineering a genetically encoded competitive inhibitor of the KEAP1-NRF2 interaction via structure-based design and phage display”,https://academic.oup.com/peds/article/29/1/1/2364292,Brian Kuhlman,http://technologies.unc.edu/inventors/18585140_brian-kuhlman,Tangible Property  919.966.3929,http://technologies.unc.edu/managers/363_tangible-property,Tangible Property  919.966.3929,#17-0078
Mouse: Beta Thalassemia with IVS-2-654 C-->T Mutation,The mice were created using the “plug and socket” method of gene targeting in murine embryonic stem cells to replace the two (cis) murine adult ß globin genes with a single copy of the human ßIVS-2-654 gene. The ßIVS-2-654 C–>T mutation accounts for approximately 20% of ß thalassemia mutations in southern China and causes aberrant RNA splicing and leads to ß0 thalassemia. The generated mice provide an animal model in which the antisense and other types of therapy can be tested in vivo and the first animal model of any disease resulting from a known human splicing mutation.These mice are available at The Jackson Laboratory and can be found athttps://www.jax.org/strain/003250.,https://www.jax.org/strain/003250,https://www.jax.org/strain/003250,Nobuyo Maeda,http://technologies.unc.edu/inventors/18585102_nobuyo-maeda,Tangible Property  919.966.3929,http://technologies.unc.edu/managers/363_tangible-property,Tangible Property  919.966.3929,#17-0149
Vector System: Hepatitis B Virus cccDNA-based Gene Expression,,Minicircle HBV cccDNA with a Gaussia luciferase reporter for investigating HBV cccDNA biology and developing cccDNA-targeting drugs.  ,https://www.ncbi.nlm.nih.gov/pubmed/27819342,Lishan Su,http://technologies.unc.edu/inventors/18584906_lishan-su,Tangible Property  919.966.3929,http://technologies.unc.edu/managers/363_tangible-property,Tangible Property  919.966.3929,#14-0154
Mouse: p16(INK4A) Expression (Luciferase & TdTomato),"The p16INK4a tumor suppressor is upregulated and serves to limit proliferation in response to cellular stressors and oncogenic events. Induction of p16INK4a is highly dynamic during tumorigenesis and aging, and is expressed in response to a variety of oncogenic stressors.The novel knock-in mouse model, p16-LUC, wherein the endogenous p16INK4a promoter drives single-copy expression of firefly luciferase, is an excellent marker of tumorigenesis and aging. p16 induction can be monitored dynamically in vivo following treatment with DNA damaging stressors such as ionizing radiation or can serve as a biomarker in studies investigating oncogenic stress, oncogenic drivers, early tumorigenesis, novel anti-neoplastic therapeutics, toxicities, senescence, and other in vivo stress responses. This model is available on an albino C57BL/6 background (haired).The conditional knock-out mouse model, p16-floxed, contains loxP sites in the Cdkn2a gene before the exon 1a start site (left) and in the first intron (right), such that only p16INK4a and not p19ARF is affected by removal of exon 1a. This strain can be crossed with Cre-expressing strains to investigate how the loss of p16INK4a affects early oncogenesis and senescence. This model is on a mixed C57BL/6 and 129 background.Please contact Dr. Shenghui He at shenghui@email.unc.edu",shenghui@email.unc.edu,mailto:shenghui@email.unc.edu,Norman Sharpless,http://technologies.unc.edu/inventors/18584858_norman-sharpless,Tangible Property  919.966.3929,http://technologies.unc.edu/managers/363_tangible-property,Tangible Property  919.966.3929,#11-0105
Cell Line: SKOV3-A2,,T Cell Receptor-Like Recognition of Tumor In Vivo by Synthetic Antibody Fragment,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0043746,Jonathan Serody,http://technologies.unc.edu/inventors/18585157_jonathan-serody,Tangible Property  919.966.3929,http://technologies.unc.edu/managers/363_tangible-property,Tangible Property  919.966.3929,#17-0029
Mouse: Connective Tissue Growth Factor Lo and Hi Mutants,"Increased connective tissue growth factor (CTGF) is associated with fibrosis in chronic organ injury. Studying the role of CTGF in fibrotic disease in vivo, however, has been hampered by perinatal lethality and the limited scope of CTGF mice. In this single mutant mouse strain, replacement with or excision of a modified CTGF allele results in 60% normal CTGF expression (Lo allele) or increased CTGF expression (Hi allele), respectively. Overexpression of CTGF can cause abnormalities, including developmental delay, craniofacial defects, and embryonic death. CTGF Lo-Hi mutant mice should prove useful in further understanding the function of CTGF in fibrotic diseases.These mice are available at The Jackson Laboratory, and can be found at",https://www.jax.org/strain/030767,https://www.jax.org/strain/030767,Nobuyo Maeda,http://technologies.unc.edu/inventors/18585144_nobuyo-maeda,Tangible Property  919.966.3929,http://technologies.unc.edu/managers/363_tangible-property,Tangible Property  919.966.3929,#17-0070
Monoclonal Antibody: CRY1,,"http://www.emdmillipore.com/US/en/product/Anti-Cryptochrome-1-Antibody-clone-D46-3361,MM","http://www.emdmillipore.com/US/en/product/Anti-Cryptochrome-1-Antibody-clone-D46-3361,MM",Aziz Sancar,http://technologies.unc.edu/inventors/18585142_aziz-sancar,Tangible Property  919.966.3929,http://technologies.unc.edu/managers/363_tangible-property,Tangible Property  919.966.3929,#17-0074
Mouse: Humanized NLRP3,,An NLRP3 Mutation Causes Arthropathy and Osteoporosis in Humanized Mice,http://www.sciencedirect.com/science/article/pii/S2211124716316254,Beverly Koller,http://technologies.unc.edu/inventors/18585136_beverly-koller,Tangible Property  919.966.3929,http://technologies.unc.edu/managers/363_tangible-property,Tangible Property  919.966.3929,#17-0083
RNA Interference Compositions for Inhibiting KRAS in Cancer,"siRNA sequences have been engineered to simultaneously block expression of multiple mutant KRAS forms in tumors without silencing wild-type KRAS and impacting normal signaling in healthy cells. KRAS mutations are among the most prevalent driver mutations in cancers, and despite extensive research, no effective KRAS inhibitor has been identified and KRAS remains an elusive target for drug development. This novel approach permits the silencing of multiple oncogenic KRAS forms while sparing wild-type expression.Advantages:• Targets a large percentage of human cancers• Selectively targets tumor cells while sparing normal cells• Effective against an “undruggable” target•",Therapeutic Silencing of KRAS Using Systemically Delivered siRNAs,https://www.ncbi.nlm.nih.gov/pubmed/25281617,Chad Pecot,http://technologies.unc.edu/inventors/18585080_chad-pecot,Charlie Shaw Commercialization Manager 919.966.3929,http://technologies.unc.edu/managers/373_charlie-shaw,PCT Patent Application WO 2017/127473,#16-0006
Predicting Maximum Heart Rate and Maximum Oxygen Uptake from Submaximal Exercise,"A new method has been developed for accurately estimating maximum heart rate and maximal oxygen uptake from data collected at submaximal intensities. This method accounts for the personal physiology and fitness of an individual and can make predictions with a level of precision and accuracy that is unavailable through conventional submaximal estimation methods. The invention can easily be integrated with existing physiological data collection technologies, including wearable sensors, and has immediate applications in the fitness and medical fields.Advantages:• Provides the accuracy of a maximum cardiopulmonary exercise test without the associated costs or medical risks• Accounts for intra-individual (person-specific) physiological variations, rather than population-specific averages, to provide greater accuracy• Improves accuracy and utility of training methods that use maximum heart rate and maximum oxygen uptake values to determine training zones•",Modeling Heart Rate Dynamics in Response to Changes in Exercise Intensity,http://proceedings.asmedigitalcollection.asme.org/proceeding.aspx?articleid=2483944,Claudio Battaglini,http://technologies.unc.edu/inventors/18585079_claudio-battaglini,Peter Liao Commercialization Manager 919.843.5028,http://technologies.unc.edu/managers/358_peter-liao,US Patent Pending US-2019-0009134,#16-0007
Mouse: ARID1A Conditional Inactivation,,Coexistent ARID1A?PIK3CA mutations promote ovarian clear-cell tumorigenesis through pro-tumorigenic inflammatory cytokine signalling,http://www.nature.com/articles/ncomms7118,Terry Magnuson,http://technologies.unc.edu/inventors/18585077_terry-magnuson,Tangible Property  919.966.3929,http://technologies.unc.edu/managers/363_tangible-property,Tangible Property  919.966.3929,#16-0014
Dynamic Decoding for Multiplexing Bead-Based Assays,"A methodology has been developed that employs dye stability to distinguish bead populations in bead-based assay systems. This increases multiplexing capabilities beyond current limitations seen with dyes of fixed excitation/emisson wavelengths. Different dyes with similar spectral properties, but different stabilities, adds a dynamic, time-based element that can resolve different bead populations. Related technologies have been developed that increase assay performance and multiplexing capability by utilizing non-cylindrical bead well geometries to improve assay performance and readout (15-0131) and bead-based delivery of reagents to facilitate parallel assays on a multiplexed-in-space microfluidic device (12-0128).Advantages:• Employs the measurement of dye decay to provide additional encoding levels beyond static, single point measurement for distinguishing bead populations• Can be used for highly sensitive real-time PCR detection of multiple target sequences on a single chip with or without the use of sequence-specific probes•",An automated integrated platform for rapid and sensitive multiplexed protein profiling using human saliva samples,http://pubs.rsc.org/en/content/articlehtml/2014/lc/c3lc51303c,J Ramsey,http://technologies.unc.edu/inventors/18585076_j-ramsey,John Rainwater Commercialization Manager 919.445.9371,http://technologies.unc.edu/managers/365_john-rainwater,Provisional Patent Application Filed ,#16-0015
Mouse: Human DPP4 Expression (MERS Infection),,A mouse model for MERS coronavirus-induced acute respiratory distress syndrome,http://www.nature.com/articles/nmicrobiol2016226,Ralph Baric,http://technologies.unc.edu/inventors/18585075_ralph-baric,Tangible Property  919.966.3929,http://technologies.unc.edu/managers/363_tangible-property,Tangible Property  919.966.3929,#16-0018
Accurate Segmentation of Male Pelvic Organs from CT images via Regression-Based Deformable Models and Iterative Structural Refinement,"This novel method automatically segments male pelvic organs from CT images with robustness to initialization that achieves better results than current deformable models, and could greatly enhance the accuracy of pelvic segmentation consequently preventing more accurate radiotherapy treatments to patients. Segmenting pelvic organs is a prerequisite for prostate cancer radiotherapy, as the efficacy of radiation treatment heavily depends on the segmentation accuracy. However, due to low tissue contrast of CT images, and large shape and appearance variation of pelvic organs, accurate segmentation is challenging. Deformable models aim to alleviate some of these hindrances, but their success greatly depends upon initialization – especially for segmenting organs with large shape variations. This technology is a novel way to guide deformable segmentation, which makes deformable models more robust against arbitrary initializations. By learning an image regressor that predicts the 3D displacement from any image voxel to the target organ boundary, this method overcomes the initialization problem suffered by traditional deformable models. This method has been tested using images from over 300 prostate cancer patients.Advantages:• Accurate, automatic method for segmenting male pelvic organs from CT images• Makes deformable models more robust against arbitrary initialization• Unlike conventional deformable models, the deformation direction is adaptively determined for optimally driving the shape model onto the target organ•",Nouvant,https://www.nouvant.com,Dinggang Shen,http://technologies.unc.edu/inventors/18585074_dinggang-shen,Charlie Shaw Commercialization Manager 919.966.3929,http://technologies.unc.edu/managers/373_charlie-shaw,PCT Patent Application WO 2017/062453,#16-0019
3D Printed Intravaginal Rings for Delivery of Therapeutics and Contraceptives,"Using state-of-the-art 3D printing technology, intravaginal
rings (IVRs) have been fabricated in a way that cannot be achieved with
conventional engineering. IVRs can be used for the delivery of therapeutics
including contraceptives. Traditional IVR manufacturing uses injection molding
or hot-melt extrusion and complex multistep processes to make reservoir IVRs.
3D printing technology allows for flexibility in starting materials.
Advantages:
•
Cost effective production process
•
Wide range of starting materials
•",Nouvant,https://www.nouvant.com,Soumya Benhabbour,http://technologies.unc.edu/inventors/18585072_soumya-benhabbour,Leodis Gupton Commercialization Manager 919.966.4132,http://technologies.unc.edu/managers/369_leodis-gupton,Provisional Patent Application Filed ,#16-0021
"Cache, Trigger, Impersonate: Enabling Context-Sensitive Honeyclient Analysis On-the-Wire","A novel framework has been developed for adapting honeyclient-based systems (for identifying attacks) to operate on-the-wire at scale. It analyzes web-based exploits inline with network traffic using a cache and replay system, utilizing behavioral-based features. Current techniques only analyze behavioral based features in an offline fashion. The innovation would be used to protect enterprise networks from HTTP-based attacks.Advantages:• Significant operational value•","Cache, Trigger, Impersonate: Enabling Context-Sensitive Honeyclient Analysis On-the-Wire",https://www.internetsociety.org/sites/default/files/blogs-media/cache-trigger-impersonate-enabling-context-sensitive-honeyclient-analysis-wire.pdf,Fabian Monrose,http://technologies.unc.edu/inventors/18585067_fabian-monrose,Peter Liao Commercialization Manager 919.843.5028,http://technologies.unc.edu/managers/358_peter-liao,"US Patent 9,992,217",#16-0031
